  [PASS] escaped_pipe_ok (expected clean, got 0)
  [PASS] foreign_table_ignored (expected clean, got 0)
  [PASS] bold_status_ok (expected clean, got 0)
  [PASS] vague_evidence_caught (expected violations, got 1)
  [PASS] claimed_caught (expected violations, got 1)
  [PASS] pending_with_command_ok (expected clean, got 0)
  [PASS] empty_evidence_caught (expected violations, got 1)
  [PASS] pending_no_command_caught (expected violations, got 1)
  [PASS] pending_with_command_still_ok (expected clean, got 0)
  [PASS] waived_no_date_caught (expected violations, got 1)
  [PASS] waived_with_date_ok (expected clean, got 0)
  [PASS] orphan_ledger_row_caught (expected violations, got 1)
  [PASS] foreign_6col_not_orphan (expected clean, got 0)
  [PASS] foreign_status_col_not_orphan (expected clean, got 0)
  [PASS] orphan_5cell_caught (expected violations, got 1)
  [PASS] fenced_example_ignored (expected clean, got 0)
  [PASS] bare_date_and_passed_caught (expected violations, got 1)
  [PASS] command_without_result_caught (expected violations, got 1)
  [PASS] gate_command_with_dated_result_ok (expected clean, got 0)
  [PASS] bare_url_word_caught (expected violations, got 1)
  [PASS] exit_code_ok (expected clean, got 0)
  [PASS] ci_run_url_ok (expected clean, got 0)
  [PASS] attestation_ok (expected clean, got 0)
  [PASS] disproven_blocks (expected violations, got 1)
  [PASS] disproven_needs_execution (expected violations, got 2)
  [PASS] superseded_ok (expected clean, got 0)
  [PASS] superseded_without_target_caught (expected violations, got 1)
  [PASS] blocked_ok (expected clean, got 0)
  [PASS] blocked_without_dependency_caught (expected violations, got 1)
  [PASS] unknown_status_caught (expected violations, got 1)
  [PASS] strict_rejects_handwritten_evidence (expected violations, got 1)
  [PASS] strict_accepts_attestation (expected clean, got 0)
  [PASS] catches_alive_ok (expected alive, got alive)
  [PASS] catches_stale_caught (expected stale, got stale)
  [PASS] catches_foreign_table_stale (expected stale, got stale)
  [PASS] catches_3col_alive (expected alive, got alive)
self-test: 36/36 passed
